,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note
269,2011-05-02 00:00:00,storm camp,77.34725,-56.5716833333333,,9,-24.463333333333335,"Bob Hawley. 2014. Traverse physical, chemical, and weather observations. arcitcdata.io, doi:10.18739/A2W232. ",Hawley (2014) GrIT,
271,2011-05-12 00:00:00,14_2011,74.4223333,-39.2943333,,9,-29.683333333333334,"Bob Hawley. 2014. Traverse physical, chemical, and weather observations. arcitcdata.io, doi:10.18739/A2W232. ",Hawley (2014) GrIT,
