,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,error,durationOpen,durationMeasured,method
0,1954-06-03 00:00:00,1-0,76.72333333333333,-65.39,1310.0,10,-17.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
1,1954-06-15 00:00:00,1-10,76.80333333333333,-64.88666666666667,1418.0,10,-19.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
2,1954-06-16 00:00:00,1-20,76.89,-64.395,1486.0,10,-20.3,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
3,1954-06-17 00:00:00,1-30,76.96666666666667,-63.89,1519.0,10,-20.9,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
4,1954-06-18 00:00:00,1-40,77.055,-63.38,1570.0,10,-21.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
5,1954-06-19 00:00:00,1-50,77.14833333333333,-62.885,1630.0,10,-23.1,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
6,1955-01-01 00:00:00,1a-10,77.02166666666666,-66.36666666666666,1720.0,10,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
7,1955-01-01 00:00:00,1a-20,76.92,-62.0,1660.0,10,-22.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
8,1954-06-21 00:00:00,2-0,77.23833333333333,-62.32833333333333,1704.0,10,-23.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
9,1954-06-25 00:00:00,2-10,77.23,-61.626666666666665,1788.0,10,-23.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,0.5,NA,NA,"thermohms and a Wheats tone bridge, standard mercury or alcohol thermometers"
