latitude,longitude
76.72333333333333,-65.39
76.80333333333333,-64.88666666666667
76.89,-64.395
76.96666666666667,-63.89
77.055,-63.38
77.14833333333333,-62.885
77.02166666666666,-66.36666666666666
76.92,-62.0
77.23833333333333,-62.32833333333333
77.23,-61.62666666666666
77.21833333333333,-61.025
77.18333333333334,-60.39333333333333
77.17666666666666,-59.73833333333333
77.15,-69.08333333333333
77.135,-58.44166666666667
77.10166666666667,-57.82833333333333
77.065,-57.215
77.02833333333334,-56.88833333333334
77.05,-56.11666666666667
77.18833333333333,-55.75
77.04166666666667,-54.51666666666666
77.06333333333333,-52.91666666666666
77.05666666666667,-51.33333333333334
77.17833333333333,-49.77
77.06666666666666,-48.01666666666666
76.965,-46.98333333333333
76.63666666666667,-45.7
76.31666666666666,-45.1
75.985,-44.58333333333334
75.63666666666667,-43.95
75.29666666666667,-43.41666666666666
74.94166666666666,-42.96666666666667
74.59,-42.55
74.22166666666666,-42.16666666666666
73.87333333333333,-41.8
73.51666666666667,-41.41666666666666
73.16666666666667,-41.1
72.815,-40.75
72.46666666666667,-40.333333333333336
72.11666666666666,-39.93333333333333
71.77,-39.6
71.425,-39.333333333333336
71.08333333333333,-38.96666666666667
71.0,-39.66666666666666
70.90666666666667,-40.63333333333333
70.775,-41.63333333333333
70.63,-42.61666666666667
70.45166666666667,-43.58333333333334
70.3,-44.55
70.25,-44.96666666666667
70.175,-45.36666666666667
70.105,-45.73333333333333
70.04,-46.13333333333333
69.97666666666667,-46.5
69.91666666666667,-46.93333333333333
69.87,-47.3
69.80166666666666,-47.66666666666666
69.73166666666667,-48.05
77.23333333333333,-62.33333333333334
77.71666666666667,-59.56666666666667
78.2,-56.31666666666667
78.61666666666666,-53.0
79.01666666666667,-49.13333333333333
79.71666666666667,-51.41666666666666
80.38333333333334,-54.05
80.75,-55.33333333333334
79.46666666666667,-44.31666666666667
80.0,-39.63333333333333
80.65,-39.63333333333333
81.3,-39.73333333333333
77.98333333333333,-52.5
78.91666666666667,-48.2
77.0486111111111,-43.393611111111106
77.18138888888889,-43.1425
77.28944444444444,-43.16722222222222
77.39361111111111,-43.30166666666667
77.52222222222224,-43.46888888888889
77.56333333333333,-62.16721666666667
77.58944444444444,-62.74527777777778
77.61805555555556,-62.45138888888889
76.65,-62.15
76.78333333333333,-61.88333333333333
76.91666666666667,-61.66666666666666
68.06666666666666,-42.333333333333336
66.57166666666667,-47.2
66.46166666666667,-46.23333333333333
66.40333333333334,-45.51666666666666
66.31666666666666,-44.8
66.22333333333333,-44.13666666666666
65.195,-43.78333333333333
64.475,-42.95833333333334
64.48666666666666,-43.825
