,Unnamed: 0,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,geometry,MAR_distance,MAR_lat,MAR_lon,MAR_i,MAR_j,MAR_elevation,MAR_10m_temp
724,768,2016-11-30,KPC_U,79.8347,-25.1662,870.0,10.0,-14.739976576873193,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2016,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-13.67333984375
725,769,2016-12-31,KPC_U,79.8347,-25.1662,870.0,10.0,-14.736240600961606,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2016,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-13.639434814453125
726,770,2017-01-31,KPC_U,79.8347,-25.1662,870.0,10.0,-14.73238009251964,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2017,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-13.2137451171875
727,771,2017-02-28,KPC_U,79.8347,-25.1662,870.0,10.0,-14.728519584077675,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2017,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-13.199249267578125
728,772,2017-03-31,KPC_U,79.8347,-25.1662,870.0,10.0,-14.72503267322686,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2017,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-13.195709228515625
729,773,2017-04-30,KPC_U,79.8347,-25.1662,870.0,10.0,-14.721172164784894,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2017,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-13.1864013671875
730,774,2017-05-31,KPC_U,79.8347,-25.1662,870.0,10.0,-14.972650298423153,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2017,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-13.188140869140625
731,775,2017-06-30,KPC_U,79.8347,-25.1662,870.0,10.0,-15.38327551164354,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2017,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-13.870758056640625
732,776,2017-07-31,KPC_U,79.8347,-25.1662,870.0,10.0,-15.660873942012405,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2017,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-14.104217529296875
733,777,2017-08-31,KPC_U,79.8347,-25.1662,870.0,10.0,-15.856157353174966,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2017,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-14.1617431640625
734,778,2017-09-30,KPC_U,79.8347,-25.1662,870.0,10.0,-15.84906437732308,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2017,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-14.085968017578125
735,779,2017-10-31,KPC_U,79.8347,-25.1662,870.0,10.0,-15.338165564054872,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2017,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-14.065582275390625
736,780,2017-11-30,KPC_U,79.8347,-25.1662,870.0,10.0,-14.678307223917642,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2017,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-14.05621337890625
737,781,2017-12-31,KPC_U,79.8347,-25.1662,870.0,10.0,-14.287439616827875,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2017,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-14.045257568359375
738,782,2018-01-31,KPC_U,79.8347,-25.1662,870.0,10.0,-14.018895317374144,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2018,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
739,783,2018-02-28,KPC_U,79.8347,-25.1662,870.0,10.0,-13.955809372778347,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2018,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
740,784,2018-03-31,KPC_U,79.8347,-25.1662,870.0,10.0,-14.041962451848669,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2018,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
741,785,2018-04-30,KPC_U,79.8347,-25.1662,870.0,10.0,-14.239419665277465,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2018,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
742,786,2018-05-31,KPC_U,79.8347,-25.1662,870.0,10.0,-14.497818717608302,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2018,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
743,787,2018-06-30,KPC_U,79.8347,-25.1662,870.0,10.0,-14.774072674472597,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2018,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
744,788,2018-07-31,KPC_U,79.8347,-25.1662,870.0,10.0,-14.988117372947922,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2018,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
745,789,2018-08-31,KPC_U,79.8347,-25.1662,870.0,10.0,-15.102385997884983,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2018,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
746,790,2018-09-30,KPC_U,79.8347,-25.1662,870.0,10.0,-15.061487307275211,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2018,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
747,791,2018-10-31,KPC_U,79.8347,-25.1662,870.0,10.0,-14.840045688605185,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2018,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
748,792,2018-11-30,KPC_U,79.8347,-25.1662,870.0,10.0,-14.524856323953967,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2018,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
749,793,2018-12-31,KPC_U,79.8347,-25.1662,870.0,10.0,-14.380531197528336,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2018,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
750,794,2019-01-31,KPC_U,79.8347,-25.1662,870.0,10.0,-14.411167275834545,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2019,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
751,795,2019-02-28,KPC_U,79.8347,-25.1662,870.0,10.0,-14.57028318345225,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2019,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
752,796,2019-03-31,KPC_U,79.8347,-25.1662,870.0,10.0,-14.807790715943868,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2019,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
753,797,2019-04-30,KPC_U,79.8347,-25.1662,870.0,10.0,-15.129122637039863,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2019,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
754,798,2019-05-31,KPC_U,79.8347,-25.1662,870.0,10.0,-15.495482455585835,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2019,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.226593017578125
755,799,2019-06-30,KPC_U,79.8347,-25.1662,870.0,10.0,-15.840385873802544,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2019,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.225738525390625
756,800,2019-07-31,KPC_U,79.8347,-25.1662,870.0,10.0,-16.030350773680258,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2019,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.224517822265625
757,801,2019-08-31,KPC_U,79.8347,-25.1662,870.0,10.0,-16.030350773680258,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2019,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.223663330078125
758,802,2019-09-30,KPC_U,79.8347,-25.1662,870.0,10.0,-16.030350773680258,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2019,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.065216064453125
759,803,2019-10-31,KPC_U,79.8347,-25.1662,870.0,10.0,-16.030350773680258,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2019,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.064422607421875
760,804,2019-11-30,KPC_U,79.8347,-25.1662,870.0,10.0,-16.030350773680258,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2019,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.266021728515625
761,805,2019-12-31,KPC_U,79.8347,-25.1662,870.0,10.0,-16.030350773680258,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2019,POINT (-25.1662 79.8347),148.44215157308324,79.88114929199219,-25.046789169311523,155.0,68.0,812.40576171875,-12.267486572265625
762,806,2009-08-31,NUK_L,64.4822,-49.5358,530.0,10.0,-0.11687617669753085,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2009,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-34.98443603515625
763,807,2009-09-30,NUK_L,64.4822,-49.5358,530.0,10.0,-0.1171647395833333,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2009,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-35.38018798828125
764,808,2009-10-31,NUK_L,64.4822,-49.5358,530.0,10.0,-0.11334204767267272,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2009,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-34.96415710449219
765,809,2009-11-30,NUK_L,64.4822,-49.5358,530.0,10.0,-0.1052878984330556,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2009,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-34.4998779296875
766,810,2009-12-31,NUK_L,64.4822,-49.5358,530.0,10.0,-0.16535793167403182,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2009,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-33.96583557128906
767,811,2010-01-31,NUK_L,64.4822,-49.5358,530.0,10.0,-0.2274302993563739,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2010,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-28.543304443359375
768,812,2010-02-28,NUK_L,64.4822,-49.5358,530.0,10.0,-0.289502667038716,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2010,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-28.54461669921875
769,813,2010-03-31,NUK_L,64.4822,-49.5358,530.0,10.0,-0.3455680313969605,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2010,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-28.546035766601562
770,814,2010-04-30,NUK_L,64.4822,-49.5358,530.0,10.0,-0.4076403990793025,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2010,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-28.546554565429688
771,815,2010-05-31,NUK_L,64.4822,-49.5358,530.0,10.0,-0.5336592320107643,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2010,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-28.520919799804688
772,816,2010-06-30,NUK_L,64.4822,-49.5358,530.0,10.0,-0.457112911565411,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2010,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-28.4052734375
773,817,2010-07-31,NUK_L,64.4822,-49.5358,530.0,10.0,-0.3035315388465385,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2010,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-28.625625610351562
774,818,2010-08-31,NUK_L,64.4822,-49.5358,530.0,10.0,-0.14483078703703706,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2010,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-29.0247802734375
775,819,2011-09-30,NUK_L,64.4822,-49.5358,530.0,10.0,-0.006459936342592315,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2011,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-30.538421630859375
776,820,2011-10-31,NUK_L,64.4822,-49.5358,530.0,10.0,0.04437755020645706,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2011,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-30.9302978515625
777,821,2012-04-30,NUK_L,64.4822,-49.5358,530.0,10.0,0.09989273453141267,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2012,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-27.986907958984375
778,822,2012-05-31,NUK_L,64.4822,-49.5358,530.0,10.0,-0.29319854166666115,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2012,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-28.44818115234375
779,823,2012-06-30,NUK_L,64.4822,-49.5358,530.0,10.0,-0.4197326781326769,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2012,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-31.79150390625
780,824,2012-07-31,NUK_L,64.4822,-49.5358,530.0,10.0,-0.2618384798917767,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2012,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-35.241180419921875
781,825,2012-08-31,NUK_L,64.4822,-49.5358,530.0,10.0,-0.18971570940706609,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2012,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-35.72560119628906
782,826,2012-09-30,NUK_L,64.4822,-49.5358,530.0,10.0,-0.11759293892235545,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2012,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-35.46343994140625
783,827,2012-10-31,NUK_L,64.4822,-49.5358,530.0,10.0,-0.08371732843056504,"Fausto, R.S. and van As, D., (2019). Programme for monitoring of the Greenland ice sheet (PROMICE): Automatic weather station data. Version: v03, Dataset published via Geological Survey of Denmark and Greenland. DOI: https://doi.org/10.22008/promice/data/aws",PROMICE,,2012,POINT (-49.5358 64.48220000000001),161.265735755914,64.45670318603516,-49.589473724365234,37.0,28.0,555.8613891601562,-34.76454162597656
