,Unnamed: 0,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,geometry,MAR_distance,MAR_lat,MAR_lon,MAR_i,MAR_j,MAR_elevation,MAR_10m_temp
12,12,1954-07-04 00:00:00,2-40,77.17666666666666,-59.73833333333333,1885.0,10.0,-23.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-59.73833333333333 77.17666666666666),193.57143299852527,77.04024505615234,-59.7960319519043,133.0,19.0,1839.237060546875,-22.78070068359375
13,13,1954-07-09 00:00:00,2-50,77.15,-69.08333333333333,1877.0,10.0,-23.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-69.08333333333333 77.15000000000001),206.85144289594925,77.17658233642578,-69.12220001220703,139.0,5.0,474.4895935058594,-17.150283813476562
14,14,1954-07-11 00:00:00,2-60,77.135,-58.44166666666667,1905.0,10.0,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-58.44166666666667 77.13500000000001),191.63953158486015,76.9743881225586,-58.46810531616211,132.0,21.0,1865.9462890625,-22.902328491210938
15,15,1954-07-16 00:00:00,2-70,77.10166666666667,-57.82833333333333,1919.0,10.0,-23.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-57.82833333333333 77.10166666666667),190.78616497063965,77.00556182861328,-57.87678146362305,132.0,22.0,1915.6044921875,-24.321121215820312
16,16,1954-07-19 00:00:00,2-80,77.065,-57.215,1944.0,10.0,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-57.215 77.065),189.92747754320214,77.03533935546875,-57.282657623291016,132.0,23.0,1967.0191650390625,-26.673065185546875
17,17,1954-07-20 00:00:00,2-90,77.02833333333334,-56.88833333333334,1959.0,10.0,-24.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-56.88833333333334 77.02833333333334),189.45180895895692,77.19767761230469,-56.81085968017578,133.0,24.0,2055.720458984375,-27.314300537109375
18,18,1954-07-07 00:00:00,2-100,77.05,-56.11666666666667,1992.0,10.0,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-56.11666666666667 77.05),188.33355576437478,77.09075164794922,-56.08644104003906,132.0,25.0,2065.59814453125,-26.311737060546875
19,19,1955-01-01 00:00:00,2-120,77.18833333333333,-55.75,2140.0,10.0,-24.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-55.75 77.18833333333333),187.93953367627927,77.2508544921875,-55.59736251831055,133.0,26.0,2149.001708984375,-28.058700561523438
20,20,1955-05-29 00:00:00,2-125,77.04166666666667,-54.51666666666666,2152.0,10.0,-26.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-54.51666666666666 77.04166666666667),186.04216483927524,76.8709716796875,-54.67384338378906,130.0,27.0,2131.422607421875,-26.108322143554688
21,21,1955-05-31 00:00:00,2-150,77.06333333333333,-52.91666666666666,2273.0,10.0,-27.4,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-52.91666666666666 77.06333333333333),183.86068425441263,77.06905364990234,-52.969215393066406,131.0,30.0,2312.71142578125,-28.324554443359375
22,22,1955-06-02 00:00:00,2-175,77.05666666666667,-51.33333333333334,2392.0,10.0,-28.4,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-51.33333333333334 77.05666666666667),181.4831429294261,77.1194839477539,-51.14631652832031,131.0,33.0,2447.1552734375,-29.325485229492188
