,Unnamed: 0,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,geometry,RACMO_distance,RACMO_lat,RACMO_lon,RACMO_i,RACMO_j,RACMO_elevation,RACMO_10m_temp
13,13,1954-07-09 00:00:00,2-50,77.15,-69.08333333333333,1877.0,10.0,-23.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-69.08333333333333 77.15000000000001),206.82041395035003,77.13990783691406,-69.114990234375,427.0,66.0,1.0,-16.081274414062477
14,14,1954-07-11 00:00:00,2-60,77.135,-58.44166666666667,1905.0,10.0,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-58.44166666666667 77.13500000000001),191.6936505382532,77.09353637695312,-58.42555618286133,406.0,109.0,1.0,-24.436895751953102
15,15,1954-07-16 00:00:00,2-70,77.10166666666667,-57.82833333333333,1919.0,10.0,-23.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-57.82833333333333 77.10166666666667),190.8262552924675,77.14375305175781,-57.79531478881836,406.0,112.0,1.0,-24.88908996582029
16,16,1954-07-19 00:00:00,2-80,77.065,-57.215,1944.0,10.0,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-57.215 77.065),189.92106417921323,77.08180236816406,-57.227142333984375,404.0,114.0,1.0,-24.644735717773415
17,17,1954-07-20 00:00:00,2-90,77.02833333333334,-56.888333333333335,1959.0,10.0,-24.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-56.88833333333334 77.02833333333334),189.35889238176495,77.00296783447266,-56.8742790222168,402.0,115.0,1.0,-24.238104248046852
18,18,1954-07-07 00:00:00,2-100,77.05,-56.11666666666667,1992.0,10.0,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1954,POINT (-56.11666666666667 77.05),188.35789076098584,77.11237335205078,-56.0992317199707,403.0,119.0,1.0,-24.991598510742165
19,19,1955-01-01 00:00:00,2-120,77.18833333333333,-55.75,2140.0,10.0,-24.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-55.75 77.18833333333333),187.99781968352474,77.19009399414062,-55.740638732910156,404.0,121.0,1.0,-25.453344726562477
20,20,1955-05-29 00:00:00,2-125,77.04166666666667,-54.516666666666666,2152.0,10.0,-26.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-54.51666666666667 77.04166666666667),186.06084861178644,77.00849151611328,-54.56293869018555,399.0,125.0,1.0,-25.317663574218727
21,21,1955-05-31 00:00:00,2-150,77.06333333333333,-52.91666666666666,2273.0,10.0,-27.4,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-52.91666666666666 77.06333333333333),183.80263133385495,77.00531768798828,-52.95083999633789,397.0,132.0,1.0,-26.175314331054665
22,22,1955-06-02 00:00:00,2-175,77.05666666666667,-51.333333333333336,2392.0,10.0,-28.4,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-51.33333333333334 77.05666666666667),181.60093261743575,77.0411148071289,-51.39137649536133,396.0,139.0,1.0,-26.556616210937477
23,23,1955-06-04 00:00:00,2-200,77.17833333333333,-49.77,2458.0,10.0,-29.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-49.77 77.17833333333333),179.54540396930716,77.22477722167969,-49.74242401123047,398.0,147.0,1.0,-27.59148254394529
24,24,1955-06-06 00:00:00,2-225,77.06666666666666,-48.016666666666666,2536.0,10.0,-31.1,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-48.01666666666667 77.06666666666666),176.86303991668584,77.04484558105469,-47.99393081665039,393.0,154.0,1.0,-28.084188842773415
25,25,1955-06-10 00:00:00,4-0,76.965,-46.98333333333333,2616.0,10.0,-30.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-46.98333333333333 76.965),175.2842436336343,76.9299545288086,-47.01105880737305,390.0,158.0,1.0,-28.327413940429665
26,26,1955-06-12 00:00:00,4-25,76.63666666666667,-45.7,2674.0,10.0,-31.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-45.7 76.63666666666667),173.00512958298688,76.620361328125,-45.709171295166016,383.0,163.0,1.0,-28.58751525878904
