,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,ERA_distance,ERA_lat,ERA_lon,ERA_i,ERA_j
26,1955-06-04 00:00:00,2-200,77.3,-49.94,2441.0,10.0,-28.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),,1955,179.92596655978303,77.29617092208434,-49.917570530010906,203.0,430.0
27,1955-06-06 00:00:00,2-225,77.06666666666666,-48.016666666666666,2536.0,10.0,18.5,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,176.8438437079255,77.0721634532892,-47.939451730050216,209.0,440.0
28,1955-06-10 00:00:00,4-0,76.965,-46.98333333333333,2616.0,10.0,16.5,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,175.27733943615962,76.9546156481191,-46.97664159833293,212.0,445.0
29,1955-06-12 00:00:00,4-25,76.63666666666667,-45.7,2674.0,10.0,17.5,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,172.96586601362148,76.62368825596205,-45.65031586745372,220.0,452.0
30,1955-06-14 00:00:00,4-50,76.31666666666666,-45.1,2720.0,10.0,17.5,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,171.71858303005436,76.32915503108212,-45.10092705964259,227.0,455.0
31,1955-06-17 00:00:00,4-75,75.985,-44.583333333333336,2749.0,10.0,18.5,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,170.50892481732177,75.99144992504192,-44.57625034419194,235.0,458.0
32,1955-06-19 00:00:00,4-100,75.63666666666667,-43.95,2778.0,10.0,19.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,169.10136912653235,75.65213091437795,-43.90664482003989,243.0,462.0
33,1955-06-21 00:00:00,4-125,75.29666666666667,-43.41666666666666,2821.0,10.0,20.5,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,167.9095601773565,75.3124178281822,-43.43422608651842,251.0,465.0
34,1955-06-23 00:00:00,4-150,74.94166666666666,-42.96666666666667,2851.0,10.0,21.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,166.75516256107105,74.92997773916993,-42.98909894864236,260.0,468.0
35,1955-06-25 00:00:00,4-175,74.59,-42.55,2873.0,10.0,22.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,165.66701670064882,74.58899409157779,-42.55954752668216,268.0,471.0
36,1955-06-27 00:00:00,4-200,74.22166666666666,-42.16666666666666,2918.0,10.0,23.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,164.57934402368517,74.20551698857683,-42.15649000621071,277.0,474.0
37,1955-06-30 00:00:00,4-225,73.87333333333333,-41.8,2940.0,10.0,23.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,163.55461414114257,73.86353375579942,-41.76428496615897,285.0,477.0
38,1955-07-02 00:00:00,4-250,73.51666666666667,-41.41666666666666,2972.0,10.0,23.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,162.52356024095633,73.52111390486711,-41.38857355624794,293.0,480.0
39,1955-07-04 00:00:00,4-275,73.16666666666667,-41.1,3003.0,10.0,25.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,161.53257329411895,73.13652607112363,-41.03836100821901,302.0,483.0
40,1955-07-08 00:00:00,4-300,72.815,-40.75,3046.0,10.0,27.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,160.5498923125769,72.79343800124224,-40.69339444040297,310.0,486.0
41,1955-07-10 00:00:00,4-325,72.46666666666667,-40.333333333333336,3104.0,10.0,28.5,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,159.553423263041,72.49173178782516,-40.35088318867037,317.0,489.0
42,1955-07-12 00:00:00,4-350,72.11666666666666,-39.93333333333333,3128.0,10.0,29.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,158.43518538708085,72.10277184902277,-39.90841581135127,326.0,493.0
43,1955-07-14 00:00:00,4-375,71.77,-39.6,3131.0,10.0,29.5,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,157.49644112233955,71.75871428445105,-39.604888189019384,334.0,496.0
44,1955-07-16 00:00:00,4-400,71.425,-39.333333333333336,3126.0,10.0,30.5,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,156.61397474026182,71.414491231783,-39.3127823420606,342.0,499.0
45,1955-07-18 00:00:00,5-0,71.08333333333333,-38.96666666666667,3123.0,10.0,30.5,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,155.6905414864368,71.11156538808734,-39.018108691917334,349.0,502.0
46,1955-07-20 00:00:00,5-20,71.0,-39.66666666666666,3072.0,10.0,33.5,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,156.5310695981963,71.00769585301109,-39.69399816800514,352.0,497.0
