date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note
1954-07-07 00:00:00,2-100,77.0,-56.06666666666667,1992.0,10.0,-24.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),
1955-01-01 00:00:00,2-120,77.18833333333333,-55.75,2140.0,10.0,-24.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1954-01-01 00:00:00,2-120,77.18833333333333,-55.751666666666665,2140.0,10.0,-24.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),
1955-05-29 00:00:00,2-125,77.04166666666667,-54.516666666666666,2152.0,10.0,-26.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-05-31 00:00:00,2-150,77.06333333333333,-52.91666666666666,2273.0,10.0,-27.4,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-06-02 00:00:00,2-175,77.05666666666667,-51.333333333333336,2392.0,10.0,-28.4,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-06-04 00:00:00,2-200,77.17833333333333,-49.77,2458.0,10.0,-29.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-06-04 00:00:00,2-200,77.3,-49.94,2441.0,10.0,-28.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),
1955-06-06 00:00:00,2-225,77.06666666666666,-48.016666666666666,2536.0,10.0,-31.1,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-06-10 00:00:00,4-0,76.965,-46.98333333333333,2616.0,10.0,-30.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-06-12 00:00:00,4-25,76.63666666666667,-45.7,2674.0,10.0,-31.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-06-14 00:00:00,4-50,76.31666666666666,-45.1,2720.0,10.0,-30.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-06-17 00:00:00,4-75,75.985,-44.583333333333336,2749.0,10.0,-31.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-06-19 00:00:00,4-100,75.63666666666667,-43.95,2778.0,10.0,-30.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-06-21 00:00:00,4-125,75.29666666666667,-43.41666666666666,2821.0,10.0,-30.9,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-06-23 00:00:00,4-150,74.94166666666666,-42.96666666666667,2851.0,10.0,-30.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-06-25 00:00:00,4-175,74.59,-42.55,2873.0,10.0,-30.2,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-06-27 00:00:00,4-200,74.22166666666666,-42.16666666666666,2918.0,10.0,-30.3,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-06-30 00:00:00,4-225,73.87333333333333,-41.8,2940.0,10.0,-29.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-07-02 00:00:00,4-250,73.51666666666667,-41.41666666666666,2972.0,10.0,-30.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-07-04 00:00:00,4-275,73.16666666666667,-41.1,3003.0,10.0,-29.4,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-07-08 00:00:00,4-300,72.815,-40.75,3046.0,10.0,-29.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
1955-07-10 00:00:00,4-325,72.46666666666667,-40.333333333333336,3104.0,10.0,-29.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965
